"twitter","id_str","screen_name","twitter_name","description","followers_count","statuses_count","friends_count","created_at","location","id","bioid","name","gender","type","party"
"candicemiller","15281676","CandiceMiller","Candice Miller","Proudly serving Michigan's 10th Congressional District",9328,627,402,"Mon Jun 30 19:41:17 +0000 2008","Shelby Township, Michigan","01731","M001150","Candice S. Miller","F","Congress","Republican"
"carlyfiorina","65691824","CarlyFiorina","Carly Fiorina","Businesswoman, wife, mother, & grandmother. A conservative who believes in unlocking human potential & holding govt accountable.",368813,2769,685,"Fri Aug 14 17:50:35 +0000 2009","Virginia ",NA,NA,NA,NA,"Primary Candidate","Republican"
"cathymcmorris","17976923","cathymcmorris","CathyMcMorrisRodgers","Proudly serving Washington's beautiful 5th District in Congress, Chair of the House Republican Conference. Mom of three.",22867,3969,5234,"Mon Dec 08 23:17:15 +0000 2008","Spokane, WA & Washington, DC","01809","M001159","Cathy McMorris Rodgers","F","Congress","Republican"
"cbrangel","21312077","cbrangel","Charles Rangel","Member of the US Congress proudly representing NY's 13th District.  Connect with me @cbrangel, http://t.co/OiROEsaZga and http://t.co/rVp2LcJ3KE.",22216,5291,4351,"Thu Feb 19 16:17:10 +0000 2009","Washington DC","00944","R000053","Charles B. Rangel","M","Congress","Democrat"
"cbsnews","15012486","CBSNews","CBS News","The official twitter feed of @CBSNews. Follow for original reporting and trusted news.",3715931,80128,386,"Thu Jun 05 00:54:31 +0000 2008","New York, NY",NA,NA,NA,NA,"Media Outlets",NA
"chakafattah","48086014","chakafattah","Chaka Fattah","Father. Husband. Eagles! 20+year Congressman. Fighter 4 children, working families, neuroscience – 25M helped to date. Architect of GEARUP, AOTC & CORE Scholars",11019,10718,1554,"Wed Jun 17 19:39:50 +0000 2009","Philly/LM/D.C.","00371","F000043","Chaka Fattah","M","Congress","Democrat"
"chelliepingree","14984637","chelliepingree","Chellie Pingree","Farmer, mother, Maine islander, Member of Congress, lover of root vegetables",11716,1404,385,"Mon Jun 02 20:29:56 +0000 2008","Maine -- the best place to be!","01927","P000597","Chellie Pingree","F","Congress","Democrat"
"chrismurphyct","150078976","ChrisMurphyCT","Chris Murphy","U.S. Senator, Connecticut",27778,6938,129,"Mon May 31 01:22:43 +0000 2010","","01837","M001169","Christopher Murphy","M","Congress","Democrat"
"chrisvanhollen","18137749","ChrisVanHollen","Chris Van Hollen","Ranking Member, @HouseBudgetDems. Represent Maryland's 8th District. Follows, replies & RTs ≠ endorsement.",23892,1279,3817,"Mon Dec 15 15:00:29 +0000 2008","Maryland's 8th District","01729","V000128","Chris Van Hollen","M","Congress","Democrat"
"chuckgrassley","10615232","ChuckGrassley","ChuckGrassley","U.S. Senator. Family farmer. Lifetime resident of New Hartford, IA. 
Also follow @GrassleyOffice for news releases.",87063,3738,14516,"Mon Nov 26 15:17:02 +0000 2007","Iowa","00457","G000386","Chuck Grassley","M","Congress","Republican"
