chamber,party,type,name,gender,bioid,screen_name,phi,merge
,,Media Outlets,,,,WSJ,-0.40306,wsj
,,Media Outlets,,,,YahooNews,-0.31272,yahoonews
,,Media Outlets,,,,Bloomberg,-0.17154,bloomberg
,,Other Politicians,,,,VP,-0.04465,vp
,Republican,Primary Candidate,,,,JohnKasich,-0.02749,johnkasich
,Republican,Primary Candidate,,,,realDonaldTrump,-0.01012,realdonaldtrump
,,Other Politicians,,,,GeorgeHWBush,0.13584,georgehwbush
,Republican,Primary Candidate,,,,marcorubio,0.32876,marcorubio
,Republican,Primary Candidate,,,,JebBush,0.41544,jebbush
,,Other Politicians,,,,MittRomney,0.4828,mittromney
,Republican,Primary Candidate,,,,GovChristie,0.55228,govchristie
,,Other Politicians,,,,mike_pence,0.5679,mike_pence
,,Media Outlets,,,,FoxNews,0.64253,foxnews
,,Other Politicians,,,,HouseGOP,0.66562,housegop
,,Other Politicians,,,,SenateGOP,0.70658,senategop
,,Other Politicians,,,,GOP,0.77878,gop
,,Journalists,,,,megynkelly,0.78192,megynkelly
,,Other Politicians,,,,GovMikeHuckabee,0.86951,govmikehuckabee
,,Interest groups,,,,AEI,0.91058,aei
,,Journalists,,,,seanhannity,0.94949,seanhannity
,,Journalists,,,,TuckerCarlson,0.97977,tuckercarlson
,Republican,Primary Candidate,,,,tedcruz,1.10279,tedcruz
,,Interest groups,,,,CatoInstitute,1.13083,catoinstitute
,,Other Politicians,,,,newtgingrich,1.16418,newtgingrich
,,Journalists,,,,IngrahamAngle,1.17275,ingrahamangle
,,Other Politicians,,,,SarahPalinUSA,1.23113,sarahpalinusa
,,Journalists,,,,AnnCoulter,1.25655,anncoulter
,,Media Outlets,,,,DRUDGE_REPORT,1.42004,drudge_report
,,Journalists,,,,foxandfriends,1.48398,foxandfriends
,,Journalists,,,,glennbeck,1.51078,glennbeck
,,Interest groups,,,,NRA,1.64168,nra
,,Media Outlets,,,,BreitbartNews,1.64686,breitbartnews
,,Interest groups,,,,Heritage,1.6535,heritage
,,Media Outlets,,,,theblaze,1.73368,theblaze
rep,Democrat,Congress,Maxine Waters,F,W000187,RepMaxineWaters,-1.87176,repmaxinewaters
rep,Democrat,Congress,Pramila Jayapal,F,J000298,RepJayapal,-1.75807,repjayapal
rep,Democrat,Congress,Barbara Lee,F,L000551,RepBarbaraLee,-1.63736,repbarbaralee
rep,Democrat,Congress,Katherine M. Clark,F,C001101,RepKClark,-1.48137,repkclark
rep,Democrat,Congress,Frederica S. Wilson,F,W000808,RepWilson,-1.40625,repwilson
rep,Democrat,Congress,Nancy Pelosi,F,P000197,NancyPelosi,-1.31936,nancypelosi
rep,Democrat,Congress,Jackie Speier,F,S001175,RepSpeier,-1.27516,repspeier
rep,Democrat,Congress,Debbie Dingell,F,D000624,RepDebDingell,-1.2434,repdebdingell
rep,Democrat,Congress,Karen Bass,F,B001270,RepKarenBass,-1.21522,repkarenbass
rep,Democrat,Congress,Eleanor Holmes Norton,F,N000147,EleanorNorton,-1.12389,eleanornorton
rep,Democrat,Congress,Kathleen M. Rice,F,R000602,RepKathleenRice,-1.11744,repkathleenrice
rep,Democrat,Congress,Nydia M. Velázquez,F,V000081,NydiaVelazquez,-1.09025,nydiavelazquez
rep,Democrat,Congress,Yvette D. Clarke,F,C001067,RepYvetteClarke,-1.04196,repyvetteclarke
rep,Democrat,Congress,Robin L. Kelly,F,K000385,RepRobinKelly,-1.03671,reprobinkelly
rep,Democrat,Congress,Nanette Diaz Barragán,F,B001300,RepBarragan,-1.03022,repbarragan
rep,Democrat,Congress,Stephanie N. Murphy,F,M001202,RepStephMurphy,-1.02382,repstephmurphy
rep,Democrat,Congress,Betty McCollum,F,M001143,BettyMcCollum04,-1.0225,bettymccollum04
rep,Democrat,Congress,Janice D. Schakowsky,F,S001145,janschakowsky,-1.01234,janschakowsky
