"twitter","id_str","screen_name","twitter_name","description","followers_count","statuses_count","friends_count","created_at","location","bioid","id","name","gender","type","party","facebook","youtube","chamber"
"senatorrounds","2955485182","SenatorRounds","Senator Mike Rounds","U.S. Senator for South Dakota",18575,2490,549,"Thu Jan 01 20:23:49 +0000 2015","Pierre, South Dakota","R000605","02288","Mike Rounds","M","Congress","Republican","SenatorMikeRounds",NA,"sen"
"senatorshaheen","109287731","SenatorShaheen","Sen. Jeanne Shaheen","Proud Granite Stater serving New Hampshire in the US Senate. Former Governor. Mother & Grandmother. Frequent Flyer. Pats & Red Sox Fan. Outdoor enthusiast.",89970,6488,3577,"Thu Jan 28 15:22:44 +0000 2010","Washington, DC","S001181","01901","Jeanne Shaheen","F","Congress","Democrat","SenatorShaheen","senatorshaheen","sen"
"senatortester","515822213","SenatorTester","Senator Jon Tester","Third-generation Montana farmer. Proud grandfather. Former school teacher. Flattop icon. Trumpet player. Montana's senior Senator.",92011,4129,985,"Mon Mar 05 20:13:29 +0000 2012","Montana","T000464","01829","Jon Tester","M","Congress","Democrat","senatortester","senatorjontester","sen"
"senatortimscott","217543151","SenatorTimScott","Tim Scott","Official account of U.S. Senator Tim Scott. Honored to represent the great state of South Carolina. RTs and follows dont equal endorsements. #OpportunityAgenda",367805,7204,3915,"Fri Nov 19 20:34:30 +0000 2010","South Carolina","S001184","02056","Tim Scott","M","Congress","Republican","SenatorTimScott","SenatorTimScott","sen"
"senatortomudall","60828944","SenatorTomUdall","Tom Udall","United States Senator from New Mexico.",155927,5256,337,"Tue Jul 28 06:10:29 +0000 2009","Santa Fe and Washington","U000039","01567","Tom Udall","M","Congress","Democrat","senatortomudall","senatortomudall","sen"
"senatorwicker","264219447","SenatorWicker","Senator Roger Wicker","U.S. Senator for Mississippi. Please visit my website for updates.",63321,4197,326,"Fri Mar 11 14:59:01 +0000 2011","Mississippi & Washington, DC","W000437","01226","Roger F. Wicker","M","Congress","Republican","SenatorWicker","SenatorWicker","sen"
"senbennetco","224285242","SenBennetCO","Michael Bennet","U.S. Senator for Colorado",208609,3046,332,"Wed Dec 08 16:29:29 +0000 2010","Colorado","B001267","01965","Michael F. Bennet","M","Congress","Democrat","senbennetco","SenatorBennet","sen"
"senbillnelson","20597460","SenBillNelson","Senator Bill Nelson","The senior senator from the state of Florida.",348048,1354,100,"Wed Feb 11 15:44:25 +0000 2009","Florida/ Washington, D.C.","N000032","00859","Bill Nelson","M","Congress","Democrat",NA,"senbillnelson","sen"
"senblumenthal","278124059","SenBlumenthal","Richard Blumenthal","Connecticut’s U.S. Senator",476932,10473,989,"Wed Apr 06 17:13:53 +0000 2011","Connecticut, USA","B001277","02076","Richard Blumenthal","M","Congress","Democrat","SenBlumenthal","SenatorBlumenthal","sen"
"senbobcasey","171598736","SenBobCasey","Senator Bob Casey","Official twitter profile for U.S. Senator Bob Casey.",413014,8071,577,"Tue Jul 27 18:38:20 +0000 2010","Scranton, PA","C001070","01828","Robert P. Casey, Jr.","M","Congress","Democrat","SenatorBobCasey","SenatorBobCasey","sen"
"senbobcorker","73303753","SenBobCorker","Senator Bob Corker","Official news and updates from United States Senator Bob Corker (R-Tennessee) and his staff.",361208,4176,564,"Fri Sep 11 03:56:08 +0000 2009","Tennessee","C001071","01825","Bob Corker","M","Congress","Republican","bobcorker","senatorcorker","sen"
"senbooker","2167097881","SenBooker","Sen. Cory Booker","The U.S. Senate Office of Cory Booker, D-NJ. Tweets by staff.",90350,4340,6086,"Thu Oct 31 19:02:04 +0000 2013","New Jersey * Washington, DC","B001288","02194","Cory A. Booker","M","Congress","Democrat",NA,"SenCoryBooker","sen"
"senbrianschatz","1262099252","SenBrianSchatz","Senator Brian Schatz","Tweets from the Office of U.S. Senator Brian Schatz, representing the great state of Hawaii.",41662,1453,1405,"Tue Mar 12 14:23:20 +0000 2013","","S001194","02173","Brian Schatz","M","Congress","Democrat","SenBrianSchatz","senbrianschatz","sen"
